id,kor_name,en_name,type,image_url,image_url_small,image_url_cropped,simple_type
88540324,샐러맨그레이트 클로,Salamangreat Claw,Spell Card,https://images.ygoprodeck.com/images/cards/88540324.jpg,https://images.ygoprodeck.com/images/cards_small/88540324.jpg,https://images.ygoprodeck.com/images/cards_cropped/88540324.jpg,Spell
42671151,프릿그의 사과,The Golden Apples,Trap Card,https://images.ygoprodeck.com/images/cards/42671151.jpg,https://images.ygoprodeck.com/images/cards_small/42671151.jpg,https://images.ygoprodeck.com/images/cards_cropped/42671151.jpg,Trap
8148322,프레데터 프라임 퓨전,Predaprime Fusion,Spell Card,https://images.ygoprodeck.com/images/cards/8148322.jpg,https://images.ygoprodeck.com/images/cards_small/8148322.jpg,https://images.ygoprodeck.com/images/cards_cropped/8148322.jpg,Spell
4478086,클락 스파르토이,Clock Spartoi,Link Monster,https://images.ygoprodeck.com/images/cards/4478086.jpg,https://images.ygoprodeck.com/images/cards_small/4478086.jpg,https://images.ygoprodeck.com/images/cards_cropped/4478086.jpg,Link
90876561,잭스 나이트,Jack's Knight,Normal Monster,https://images.ygoprodeck.com/images/cards/90876561.jpg,https://images.ygoprodeck.com/images/cards_small/90876561.jpg,https://images.ygoprodeck.com/images/cards_cropped/90876561.jpg,Normal
67987611,아마조네스의 궁수대,Amazoness Archers,Trap Card,https://images.ygoprodeck.com/images/cards/67987611.jpg,https://images.ygoprodeck.com/images/cards_small/67987611.jpg,https://images.ygoprodeck.com/images/cards_cropped/67987611.jpg,Trap
69380702,바니라,Bunilla,Normal Monster,https://images.ygoprodeck.com/images/cards/69380702.jpg,https://images.ygoprodeck.com/images/cards_small/69380702.jpg,https://images.ygoprodeck.com/images/cards_cropped/69380702.jpg,Normal
36776089,하늘의 기병 세인토레아,Sky Cavalry Centaurea,XYZ Monster,https://images.ygoprodeck.com/images/cards/36776089.jpg,https://images.ygoprodeck.com/images/cards_small/36776089.jpg,https://images.ygoprodeck.com/images/cards_cropped/36776089.jpg,XYZ
101206052,Battlewasp - Wind,Battlewasp - Wind,Spell Card,https://images.ygoprodeck.com/images/cards/101206052.jpg,https://images.ygoprodeck.com/images/cards_small/101206052.jpg,https://images.ygoprodeck.com/images/cards_cropped/101206052.jpg,Spell
20374520,문전박대,"Begone, Knave!",Trap Card,https://images.ygoprodeck.com/images/cards/20374520.jpg,https://images.ygoprodeck.com/images/cards_small/20374520.jpg,https://images.ygoprodeck.com/images/cards_cropped/20374520.jpg,Trap
89662401,샐러맨그레이트 포울,Salamangreat Fowl,Effect Monster,https://images.ygoprodeck.com/images/cards/89662401.jpg,https://images.ygoprodeck.com/images/cards_small/89662401.jpg,https://images.ygoprodeck.com/images/cards_cropped/89662401.jpg,Effect
73483491,레알 제넥스 빈디카이트,Vindikite R-Genex,Synchro Monster,https://images.ygoprodeck.com/images/cards/73483491.jpg,https://images.ygoprodeck.com/images/cards_small/73483491.jpg,https://images.ygoprodeck.com/images/cards_cropped/73483491.jpg,Synchro
38517737,푸른 눈의 아백룡,Blue-Eyes Alternative White Dragon,Effect Monster,https://images.ygoprodeck.com/images/cards/38517737.jpg,https://images.ygoprodeck.com/images/cards_small/38517737.jpg,https://images.ygoprodeck.com/images/cards_cropped/38517737.jpg,Effect
96380700,토크백 랜서,Talkback Lancer,Link Monster,https://images.ygoprodeck.com/images/cards/96380700.jpg,https://images.ygoprodeck.com/images/cards_small/96380700.jpg,https://images.ygoprodeck.com/images/cards_cropped/96380700.jpg,Link
84523092,위치크래프트 하이네,Witchcrafter Haine,Effect Monster,https://images.ygoprodeck.com/images/cards/84523092.jpg,https://images.ygoprodeck.com/images/cards_small/84523092.jpg,https://images.ygoprodeck.com/images/cards_cropped/84523092.jpg,Effect
99801464,은익의 AXE－서리,Sari of the Silverwing Axe,Effect Monster,https://images.ygoprodeck.com/images/cards/99801464.jpg,https://images.ygoprodeck.com/images/cards_small/99801464.jpg,https://images.ygoprodeck.com/images/cards_cropped/99801464.jpg,Effect
27821104,여섯 무사의 황행,Asceticism of the Six Samurai,Spell Card,https://images.ygoprodeck.com/images/cards/27821104.jpg,https://images.ygoprodeck.com/images/cards_small/27821104.jpg,https://images.ygoprodeck.com/images/cards_cropped/27821104.jpg,Spell
60246171,소이츠,Soitsu,Normal Monster,https://images.ygoprodeck.com/images/cards/60246171.jpg,https://images.ygoprodeck.com/images/cards_small/60246171.jpg,https://images.ygoprodeck.com/images/cards_cropped/60246171.jpg,Normal
75214390,오버레이 부스터,Overlay Booster,Effect Monster,https://images.ygoprodeck.com/images/cards/75214390.jpg,https://images.ygoprodeck.com/images/cards_small/75214390.jpg,https://images.ygoprodeck.com/images/cards_cropped/75214390.jpg,Effect
6850209,데몬과의 거래,A Deal with Dark Ruler,Spell Card,https://images.ygoprodeck.com/images/cards/6850209.jpg,https://images.ygoprodeck.com/images/cards_small/6850209.jpg,https://images.ygoprodeck.com/images/cards_cropped/6850209.jpg,Spell
20663556,교체 깨구리,Substitoad,Effect Monster,https://images.ygoprodeck.com/images/cards/20663556.jpg,https://images.ygoprodeck.com/images/cards_small/20663556.jpg,https://images.ygoprodeck.com/images/cards_cropped/20663556.jpg,Effect
89558090,Dark Prisoner,Dark Prisoner,Normal Monster,https://images.ygoprodeck.com/images/cards/89558090.jpg,https://images.ygoprodeck.com/images/cards_small/89558090.jpg,https://images.ygoprodeck.com/images/cards_cropped/89558090.jpg,Normal
96576187,라이트로드 데몬 바이스,"Weiss, Lightsworn Archfiend",Tuner Monster,https://images.ygoprodeck.com/images/cards/96576187.jpg,https://images.ygoprodeck.com/images/cards_small/96576187.jpg,https://images.ygoprodeck.com/images/cards_cropped/96576187.jpg,Effect
69764158,페로페로케로페로스,Peropero Cerperus,Effect Monster,https://images.ygoprodeck.com/images/cards/69764158.jpg,https://images.ygoprodeck.com/images/cards_small/69764158.jpg,https://images.ygoprodeck.com/images/cards_cropped/69764158.jpg,Effect
30010480,강귀 썬더 오우거,Gouki Thunder Ogre,Link Monster,https://images.ygoprodeck.com/images/cards/30010480.jpg,https://images.ygoprodeck.com/images/cards_small/30010480.jpg,https://images.ygoprodeck.com/images/cards_cropped/30010480.jpg,Link
27553701,Absolute King - Megaplunder,Absolute King - Megaplunder,Normal Monster,https://images.ygoprodeck.com/images/cards/27553701.jpg,https://images.ygoprodeck.com/images/cards_small/27553701.jpg,https://images.ygoprodeck.com/images/cards_cropped/27553701.jpg,Normal
58685438,바이콘 렘,Bicorn Re'em,Effect Monster,https://images.ygoprodeck.com/images/cards/58685438.jpg,https://images.ygoprodeck.com/images/cards_small/58685438.jpg,https://images.ygoprodeck.com/images/cards_cropped/58685438.jpg,Effect
29265962,The League of Uniform Nomenclature Strikes,The League of Uniform Nomenclature Strikes,Spell Card,https://images.ygoprodeck.com/images/cards/29265962.jpg,https://images.ygoprodeck.com/images/cards_small/29265962.jpg,https://images.ygoprodeck.com/images/cards_cropped/29265962.jpg,Spell
